Search keyword report
"August 8, 2020 - August 14, 2020"
Device,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Impr.,Impr. (Top) %,Search impr. share,Search top IS,Cost,Clicks,Conversions,Click share,Match type,Search exact match IS,Search lost top IS (rank)
Computers,Enabled,"""ELD""",M7M2-ELD,p--m-eld-Google,USD,Campaign paused,2.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled,"""ELD""",M7M2-ELD,p--m-eld-Google,USD,Campaign paused,2.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Mobile phones,Enabled,"""ELD""",M7M2-ELD,p--m-eld-Google,USD,Campaign paused,2.80,147,65.28%,< 10%,< 10%,6.32,3,0.00,< 10%,Phrase match, --,> 90%
Other,Enabled,"""ELD""",M7M2-ELD,p--m-eld-Google,USD,Campaign paused,2.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Tablets,Enabled,"""ELD""",M7M2-ELD,p--m-eld-Google,USD,Campaign paused,2.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled,"""ELD""",M7M2-ELD,p--c-eld-Google,USD,Campaign paused,3.80,207,38.16%,12.18%,< 10%,7.90,3,0.00,< 10%,Phrase match, --,> 90%
Other,Enabled,"""ELD""",M7M2-ELD,p--c-eld-Google,USD,Campaign paused,3.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled,"""ELD""",M7M2-ELD,p--c-eld-Google,USD,Campaign paused,3.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Mobile phones,Enabled,"""ELD""",M7M2-ELD,p--c-eld-Google,USD,Campaign paused,3.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Tablets,Enabled,"""ELD""",M7M2-ELD,p--c-eld-Google,USD,Campaign paused,3.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
TV screens,Enabled, +ELD +TRUCKING,M7M2-ELD,b--c-eld trucking-Google,USD,Campaign paused,21.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +ELD +TRUCKING,M7M2-ELD,b--c-eld trucking-Google,USD,Campaign paused,21.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
